word,index
üzere,1312
uyuyamadı,1313
git,1314
zavallının,1315
işitti,1316
ağzını,1317
kesildi,1318
dudakları,1319
sırf,1320
gündür,1321
dost,1322
gür,1323
yokluk,1324
uyanıyor,1325
akış,1326
bilinmeyen,1327
dumandan,1328
gözlerimden,1329
tâ,1330
yoldan,1331
şehirde,1332
idim,1333
jandarma,1334
mektup,1335
kalktım,1336
mektubu,1337
efruz,1338
elem,1339
keşke,1340
köye,1341
tabiatın,1342
cezâ,1343
anladım,1344
küfürler,1345
dalgaları,1346
olmasına,1347
aşağı,1348
söylüyorsun,1349
bende,1350
diyorsun,1351
dur,1352
demektir,1353
söylediği,1354
istiyor,1355
yöntemi,1356
hatırlıyor,1357
şeydir,1358
susuyor,1359
ilim,1360
okur,1361
sakın,1362
aczin,1363
toplanan,1364
gör,1365
kuvvetin,1366
etrafa,1367
yoluna,1368
başlamış,1369
ediyorsun,1370
şaşırmış,1371
şöyle,1372
buralarda,1373
birbirine,1374
yaparım,1375
vermek,1376
oluyorsun,1377
etmeyiniz,1378
sus,1379
basit,1380
iyilik,1381
çöle,1382
i̇yi,1383
söndü,1384
olmadı,1385
çıktım,1386
dek,1387
görmeye,1388
kardeşi,1389
devlete,1390
alır,1391
kurşun,1392
altındaki,1393
mehmet,1394
gösteren,1395
deve,1396
oturduk,1397
liraya,1398
yalancıktan,1399
istedim,1400
seksen,1401
hepsinden,1402
ediyorum,1403
kitapları,1404
ortasındaki,1405
kakmalı,1406
okuduğu,1407
kütüphaneyi,1408
indirdi,1409
perişan,1410
bilmiyorum,1411
lirayı,1412
er,1413
bizden,1414
miras,1415
sersem,1416
neler,1417
değildim,1418
yemeğe,1419
dışında,1420
ölecekti,1421
şeytan,1422
emir,1423
gerçekten,1424
mısın,1425
âdî,1426
verecek,1427
ölecek,1428
odaya,1429
gölgeler,1430
şeytanın,1431
istediğimi,1432
akıyordu,1433
duymuyor,1434
geçirmek,1435
millete,1436
kucakladı,1437
insanlık,1438
kaçan,1439
harap,1440
zamanın,1441
kararı,1442
deminki,1443
heyecan,1444
ismi,1445
sırmalı,1446
çağırdı,1447
gelsin,1448
huzura,1449
kazaskerler,1450
girdiler,1451
öpüp,1452
ismini,1453
öteki,1454
görülmemiş,1455
kazaskerlere,1456
maçin,1457
kimsenin,1458
canı,1459
beter,1460
fakih,1461
kullarının,1462
anlamadı,1463
bilmiyorsunuz,1464
muhârebeye,1465
medresede,1466
yutkundu,1467
beylerbeyi,1468
sint,1469
hiçbiri,1470
askerin,1471
nümayiş,1472
huzuruna,1473
getir,1474
titreyen,1475
orduda,1476
yapan,1477
diz,1478
çoğalıyor,1479
taşıyor,1480
gecenin,1481
ayaklarını,1482
uyuyordu,1483
sıcak,1484
odamın,1485
kollarımı,1486
dönünce,1487
nefesi,1488
saçlarıma,1489
uyanılmaz,1490
sincabî,1491
